object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446,15.03,6108,4.469,0.956,Kepler,,,,,,,,,
K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,2,4126,4.661,0.615,Kepler,,,,,,,,,
K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,2.16,4126,4.661,0.615,Kepler,,,,,,,,,
K00775.03,CONFIRMED,36.4454001,4.007,1122.3,1.99,4126,4.661,0.615,Kepler,,,,,,,,,
K00776.01,CONFIRMED,3.728732147,2.683,5226.5,6.02,5497,4.577,0.809,Kepler,,,,,,,,,
K00777.01,CANDIDATE,40.4195037,3.362,6256,7.51,5446,4.507,0.781,Kepler,,,,,,,,,
K00778.01,CONFIRMED,2.243380573,1.1196,821.7,1.99,4149,4.698,0.564,Kepler,,,,,,,,,
K00779.01,FALSE POSITIVE,10.40599802,6.5036,14489,11.23,5746,4.393,0.924,Kepler,,,,,,,,,
K00780.01,CONFIRMED,2.337437946,1.9982,971.2,2.34,5005,4.595,0.765,Kepler,,,,,,,,,
K00780.02,CANDIDATE,7.2406612,0.558,556.4,19.45,5005,4.595,0.765,Kepler,,,,,,,,,
K00115.03,CANDIDATE,3.43591631,3.133,23.2,0.55,5779,4.339,1.087,Kepler,,,,,,,,,
K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,2.65,3688,4.79,0.473,Kepler,,,,,,,,,
K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,5.31,5992,4.415,0.989,Kepler,,,,,,,,,
K00783.01,CONFIRMED,7.275040844,7.5377,3001,4.86,5485,4.556,0.867,Kepler,,,,,,,,,
K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,1.93,4077,4.702,0.56,Kepler,,,,,,,,,
K00784.02,CONFIRMED,10.06524317,1.369,1053.3,1.91,4077,4.702,0.56,Kepler,,,,,,,,,
K00785.01,CONFIRMED,12.3935651,3.8896,916.6,2.66,5557,4.603,0.75,Kepler,,,,,,,,,
K00116.02,CONFIRMED,43.84439721,6.802,615.2,2.87,5854,4.406,1.012,Kepler,,,,,,,,,
K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,5295,4.551,0.811,Kepler,,,,,,,,,
K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,5735,4.41,0.973,Kepler,,,,,,,,,
K00800.01,CONFIRMED,2.711504086,3.0099,837.5,3.12,6214,4.442,1.076,Kepler,,,,,,,,,
K00800.02,CONFIRMED,7.21203748,4.0491,950.4,3.32,6214,4.442,1.076,Kepler,,,,,,,,,
K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,5799,4.539,0.878,Kepler,,,,,,,,,
K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,2.59,5354,4.587,0.788,Kepler,,,,,,,,,
K00790.02,CONFIRMED,60.4189369,5.039,931.3,2.36,5354,4.587,0.788,Kepler,,,,,,,,,
K00791.01,CONFIRMED,12.61190435,5.1497,6105.6,7.4,5795,4.508,0.919,Kepler,,,,,,,,,
K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,6017,4.22,1.339,Kepler,,,,,,,,,
K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,28.59,5927,4.409,1.06,Kepler,,,,,,,,,
K00794.01,CONFIRMED,2.539183147,2.4282,382.1,2.06,5519,4.35,1.062,Kepler,,,,,,,,,
K00795.01,CONFIRMED,6.770300385,2.0844,1304,2.77,5653,4.656,0.679,Kepler,,,,,,,,,
K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967,27.51,5255,4.678,0.636,Kepler,,,,,,,,,
K00797.01,CANDIDATE,10.181584,3.5089,5741.1,7.73,5988,4.541,0.836,Kepler,,,,,,,,,
K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,1.96,3950,4.754,0.493,Kepler,,,,,,,,,
K00812.03,CONFIRMED,46.1842039,4.758,1394.7,1.83,3950,4.754,0.493,Kepler,,,,,,,,,
K00116.04,CONFIRMED,23.9800854,5.351,104,1.31,5854,4.406,1.012,Kepler,,,,,,,,,
K00812.04,CONFIRMED,7.82502168,2.186,520.8,1.2,3950,4.754,0.493,Kepler,,,,,,,,,
K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,7.34,5557,4.592,0.774,Kepler,,,,,,,,,
K00814.01,CONFIRMED,22.36646466,5.228,986.8,2.32,5395,4.615,0.734,Kepler,,,,,,,,,
K00801.01,CONFIRMED,1.625522174,2.38963,7969,9.73,5539,4.322,1.106,Kepler,,,,,,,,,
K00802.01,CANDIDATE,19.62034692,2.0038,21725,13.6,5710,4.492,0.905,Kepler,,,,,,,,,
K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,17.47,5657,4.567,0.824,Kepler,,,,,,,,,
K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,2.57,5349,4.526,0.82,Kepler,,,,,,,,,
