object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K01637.01,CONFIRMED,2.97041801,2.2369,530.7,1.7,5068,4.608,0.743,Kepler,,,,,,,,,
K01639.02,CANDIDATE,9.9824036,1.09,83.9,1.17,6273,4.364,1.139,Kepler,,,,,,,,,
K01764.01,CANDIDATE,12.68173393,1.6866,5879.1,7.25,4976,4.577,0.701,Kepler,,,,,,,,,
K01765.01,FALSE POSITIVE,6.814984472,3.05409,23915,14.18,5465,4.566,0.817,Kepler,,,,,,,,,
K01770.01,FALSE POSITIVE,63.9354965,13.321,1250.6,2637.6,3626,0.684,97.41,Kepler,,,,,,,,,
K01773.01,CANDIDATE,83.09708021,9.2639,15860,13.83,5286,4.627,0.636,Kepler,,,,,,,,,
K00022.01,CONFIRMED,7.891448838,4.2854,10345,12.63,5972,4.313,1.237,Kepler,,,,,,,,,
K01510.01,CANDIDATE,0.839961456,1.3008,492.9,1.63,4932,4.618,0.718,Kepler,,,,,,,,,
K01511.01,CONFIRMED,2.578852119,2.3581,334.3,1.63,5743,4.553,0.853,Kepler,,,,,,,,,
K01512.01,FALSE POSITIVE,9.04189129,2.789,783.4,3.24,5237,4.572,0.826,Kepler,,,,,,,,,
K00176.01,CONFIRMED,30.22910274,6.6751,443.4,3.49,6325,4.188,1.518,Kepler,,,,,,,,,
K01513.01,FALSE POSITIVE,0.798200403,1.8261,396.8,24.03,6258,4.449,1.031,Kepler,,,,,,,,,
K00182.01,FALSE POSITIVE,3.479425638,3.4479,19550,12.86,5907,4.519,0.878,Kepler,,,,,,,,,
K01571.01,FALSE POSITIVE,2.92878704,4.634,549.4,22.76,5955,4.534,0.883,Kepler,,,,,,,,,
K01572.01,CONFIRMED,9.80321143,4.4617,813.4,2.99,6170,4.472,0.992,Kepler,,,,,,,,,
K01573.01,CONFIRMED,24.81097206,3.2245,2090.8,4.22,6086,4.511,0.921,Kepler,,,,,,,,,
K01573.02,CANDIDATE,7.136922,2.8005,221.6,1.38,6086,4.511,0.921,Kepler,,,,,,,,,
K01641.01,CONFIRMED,4.8538404,3.198,196.4,1.72,5778,4.483,0.968,Kepler,,,,,,,,,
K01643.01,CONFIRMED,11.04605365,4.799,308.3,1.8,6093,4.429,1.025,Kepler,,,,,,,,,
K01644.01,FALSE POSITIVE,2.621706694,1.941,4572,34.68,5749,4.436,0.881,Kepler,,,,,,,,,
K01646.01,CONFIRMED,3.72020708,1.892,156.9,0.99,5017,4.516,0.797,Kepler,,,,,,,,,
K00190.01,FALSE POSITIVE,12.26486736,4.7366,11311,28.29,5372,3.81,2.344,Kepler,,,,,,,,,
K01751.01,CONFIRMED,8.689301216,2.563,1117,2.92,5211,4.447,0.895,Kepler,,,,,,,,,
K01751.02,CONFIRMED,20.99757968,2.454,1131.8,2.97,5211,4.447,0.895,Kepler,,,,,,,,,
K01753.01,FALSE POSITIVE,0.979442525,1.0348,469.3,1.64,5532,4.607,0.745,Kepler,,,,,,,,,
K00194.01,CONFIRMED,3.120828136,2.1878,16456,14.16,6122,4.471,0.996,Kepler,,,,,,,,,
K01754.01,CONFIRMED,15.13590453,2.236,255.7,2.57,6050,4.137,1.572,Kepler,,,,,,,,,
K01514.01,FALSE POSITIVE,1.399326503,1.8305,206.4,1,4502,4.572,0.728,Kepler,,,,,,,,,
K01515.01,CONFIRMED,1.937029968,1.4727,312.3,0.87,4042,4.761,0.49,Kepler,,,,,,,,,
K01515.02,CONFIRMED,7.06117322,1.0406,481.7,1.23,4042,4.761,0.49,Kepler,,,,,,,,,
K01516.01,CONFIRMED,20.55331441,5.3136,678.3,3.19,6325,4.409,1.112,Kepler,,,,,,,,,
K01517.01,CONFIRMED,40.0686713,5.8875,970.9,3.1,6026,4.411,0.992,Kepler,,,,,,,,,
K01574.01,CONFIRMED,114.73658,12.0355,4850,12.28,5597,3.963,1.699,Kepler,,,,,,,,,
K01574.02,CONFIRMED,191.239133,16.942,1061.2,6.47,5597,3.963,1.699,Kepler,,,,,,,,,
K01574.03,CANDIDATE,5.83393857,4.5813,134.4,1.98,5597,3.963,1.699,Kepler,,,,,,,,,
K01575.01,FALSE POSITIVE,24.3282251,6.158,1120.6,294.02,5286,4.59,0.78,Kepler,,,,,,,,,
K01576.01,CONFIRMED,10.41572666,2.7719,825.3,3.01,5511,4.426,0.987,Kepler,,,,,,,,,
K01647.01,CONFIRMED,14.97031664,5.884,290.5,2.53,5726,4.123,1.483,Kepler,,,,,,,,,
K01647.02,CONFIRMED,32.2753853,8.622,223.9,2.31,5726,4.123,1.483,Kepler,,,,,,,,,
K01647.03,CANDIDATE,6.33027476,3.67,89.2,1.02,5900,4.363,1.07,Kepler,,,,,,,,,
K01648.01,CONFIRMED,38.3262237,3.073,392.1,2.43,5229,4.441,0.903,Kepler,,,,,,,,,
K01649.01,CONFIRMED,4.04355245,1.965,416.2,1.75,3871,4.744,0.532,Kepler,,,,,,,,,
K01758.01,CANDIDATE,5.59728249,1.795,1407.3,3.28,5610,4.551,0.858,Kepler,,,,,,,,,
K01760.01,CONFIRMED,5.52418625,2.826,491,2.25,5334,4.372,1.004,Kepler,,,,,,,,,
K01760.02,CONFIRMED,8.77514782,3.176,351.9,1.91,5334,4.372,1.004,Kepler,,,,,,,,,
K01761.01,FALSE POSITIVE,10.12742274,1.2762,933.5,3.8,6392,4.399,1.162,Kepler,,,,,,,,,
K01762.01,FALSE POSITIVE,0.870693883,1.2137,438.5,2.09,5985,4.519,0.883,Kepler,,,,,,,,,
K01518.01,CONFIRMED,27.5071114,5.907,580.7,2.58,5783,4.539,0.88,Kepler,,,,,,,,,
K01519.01,CONFIRMED,5.1443645,2.703,310.7,1.55,5157,4.445,0.904,Kepler,,,,,,,,,
K01520.01,CONFIRMED,18.45848388,3.3703,535.3,2.5,5311,4.419,0.948,Kepler,,,,,,,,,
K01521.01,CONFIRMED,25.9421582,4.045,569.7,1.95,5167,4.585,0.796,Kepler,,,,,,,,,
K00177.01,CONFIRMED,21.06075303,5.2472,301.2,1.78,5706,4.382,1.034,Kepler,,,,,,,,,
K01576.02,CONFIRMED,13.08424286,3.0401,662,2.71,5511,4.426,0.987,Kepler,,,,,,,,,
K00183.01,CONFIRMED,2.684328541,2.69382,18136,12.73,5561,4.411,0.956,Kepler,,,,,,,,,
K01576.03,CANDIDATE,23.3397956,1.923,125.1,1.23,5671,4.36,1.084,Kepler,,,,,,,,,
K01577.01,CONFIRMED,2.806243488,1.6271,599.6,1.41,4153,4.684,0.581,Kepler,,,,,,,,,
K01578.01,FALSE POSITIVE,2.27190723,5.383,149,1.12,5788,4.506,0.856,Kepler,,,,,,,,,
K01579.01,FALSE POSITIVE,7.132351753,2.9674,744.1,49.34,7530,4.08,1.93,Kepler,,,,,,,,,
K01650.01,CONFIRMED,6.53194024,3.3351,771.9,3.09,5301,4.391,0.977,Kepler,,,,,,,,,
K01651.01,CONFIRMED,51.3011844,5.359,498.9,2.07,6032,4.508,0.929,Kepler,,,,,,,,,
K01654.01,FALSE POSITIVE,1.097211085,1.6738,38946,16.07,3497,4.92,0.334,Kepler,,,,,,,,,
K01655.01,CONFIRMED,0.938466959,1.3015,217.4,1.58,5499,4.323,1.087,Kepler,,,,,,,,,
K01656.01,CANDIDATE,51.3901452,5.995,494,3.62,6074,4.284,1.292,Kepler,,,,,,,,,
K00195.01,CONFIRMED,3.217518511,2.11481,14319,11.38,5720,4.473,0.903,Kepler,,,,,,,,,
K01779.01,CONFIRMED,4.66271902,2.757,1630.6,3.86,5729,4.514,0.939,Kepler,,,,,,,,,
K01779.02,CONFIRMED,11.8150174,2.834,1003,3.48,5729,4.514,0.939,Kepler,,,,,,,,,
K01781.01,CONFIRMED,7.834433676,2.89,2018.1,3.47,4920,4.62,0.72,Kepler,,,,,,,,,
K01781.02,CONFIRMED,3.005156911,2.0747,691.6,2.2,4920,4.62,0.72,Kepler,,,,,,,,,
K01522.01,CONFIRMED,33.3856176,5.0361,553.2,2.48,5833,4.407,1.022,Kepler,,,,,,,,,
K01523.01,FALSE POSITIVE,8.48039789,6.249,259.7,1.71,5401,4.364,1.05,Kepler,,,,,,,,,
K01524.01,FALSE POSITIVE,1.333395306,1.188,114.5,0.86,5199,4.527,0.811,Kepler,,,,,,,,,
K01525.01,CONFIRMED,7.71467686,4.5871,233.9,4.65,6900,3.843,2.599,Kepler,,,,,,,,,
K01526.01,CONFIRMED,4.4444826,3.686,163,1.71,6240,4.426,1.079,Kepler,,,,,,,,,
K01580.01,FALSE POSITIVE,21.3781146,19.359,556.1,3.18,6218,4.417,1.131,Kepler,,,,,,,,,
K01581.01,CONFIRMED,29.5422566,13.902,879.9,3.15,5510,4.572,0.803,Kepler,,,,,,,,,
K01581.02,CONFIRMED,144.551628,16.599,1035.2,3.06,5510,4.572,0.803,Kepler,,,,,,,,,
K01582.01,CANDIDATE,186.4361811,5.774,4347,11.32,5393,4.132,1.37,Kepler,,,,,,,,,
K01583.01,CONFIRMED,8.04727721,5.159,486,2.33,5840,4.553,0.849,Kepler,,,,,,,,,
K01584.01,CONFIRMED,5.87063416,2.5736,505.6,1.44,4166,4.66,0.612,Kepler,,,,,,,,,
K00191.01,CONFIRMED,15.35876777,4.1223,14638,10.89,5422,4.484,0.887,Kepler,,,,,,,,,
K01659.01,CONFIRMED,29.5390897,4.139,403.3,2.51,6572,4.365,1.238,Kepler,,,,,,,,,
K01660.01,CANDIDATE,35.6364022,4.888,452.6,1.99,5926,4.532,0.887,Kepler,,,,,,,,,
K01661.01,FALSE POSITIVE,0.94773253,1.7645,11306,45.58,6302,4.183,1.269,Kepler,,,,,,,,,
K01662.01,FALSE POSITIVE,0.784031658,0.7773,352.2,1.55,5435,4.578,0.824,Kepler,,,,,,,,,
K01458.01,CANDIDATE,8.98128472,5.0397,4924,7.19,5977,4.473,1.022,Kepler,,,,,,,,,
K00171.02,CONFIRMED,13.07141889,3.0946,251.1,2.47,6122,4.173,1.439,Kepler,,,,,,,,,
K01459.01,FALSE POSITIVE,0.692015479,1.1315,4518.1,19.31,3752,4.747,0.497,Kepler,,,,,,,,,
K01460.01,FALSE POSITIVE,17.0421346,7.507,3616.7,5.14,5367,4.59,0.773,Kepler,,,,,,,,,
K01461.01,FALSE POSITIVE,7.94671044,2.8419,6084.4,27.43,4859,4.626,0.702,Kepler,,,,,,,,,
K01462.01,FALSE POSITIVE,3.74781242,5.241,5367,38.04,5780,4.438,1,Kepler,,,,,,,,,
K01527.01,CANDIDATE,192.667139,5.443,1148.3,3.64,5401,4.487,0.878,Kepler,,,,,,,,,
K01528.01,CONFIRMED,3.989544192,1.591,190,0.93,5229,4.643,0.688,Kepler,,,,,,,,,
K01529.01,CONFIRMED,17.9776037,4.605,213.9,1.58,6296,4.46,1.006,Kepler,,,,,,,,,
K01529.02,CONFIRMED,11.8693144,4.653,101.9,1.09,6296,4.46,1.006,Kepler,,,,,,,,,
K01530.01,CONFIRMED,12.98494603,3.4497,257.2,1.64,5948,4.384,1.025,Kepler,,,,,,,,,
K00184.01,FALSE POSITIVE,7.300735516,5.78725,13052,13.32,6434,4.394,1.138,Kepler,,,,,,,,,
K01585.01,CONFIRMED,19.17893976,5.144,752.8,2.4,5767,4.538,0.881,Kepler,,,,,,,,,
K01586.01,CONFIRMED,6.99130452,2.1568,555.4,1.95,4847,4.606,0.761,Kepler,,,,,,,,,
K01587.01,CANDIDATE,52.971584,3.4632,3882.6,29.02,5204,4.55,0.789,Kepler,,,,,,,,,
K01588.01,CONFIRMED,3.517494725,1.5639,532.8,1.42,4132,4.699,0.564,Kepler,,,,,,,,,
K01665.01,CONFIRMED,6.93365167,4.608,119.6,1.7,5861,4.212,1.304,Kepler,,,,,,,,,
K01665.02,CANDIDATE,5.91393977,0.562,84,1.07,6194,4.415,1.129,Kepler,,,,,,,,,
K01669.01,CONFIRMED,61.0373591,8.378,437.5,3.38,6309,4.154,1.614,Kepler,,,,,,,,,
K01672.01,CONFIRMED,33.8677783,3.72,894.8,2.31,4564,4.593,0.691,Kepler,,,,,,,,,
K01675.01,CANDIDATE,14.62399621,2.193,1082,21.92,5753,4.57,0.815,Kepler,,,,,,,,,
K01463.01,FALSE POSITIVE,1064.268096,11.5521,22772,33.63,6340,3.833,2.173,Kepler,,,,,,,,,
K01464.01,FALSE POSITIVE,2.113202658,3.5234,2104.8,207.71,5482,4.502,0.858,Kepler,,,,,,,,,
K01465.01,CANDIDATE,9.771462706,1.767,6933.2,10.15,5812,4.551,0.853,Kepler,,,,,,,,,
K01466.01,CANDIDATE,281.5628889,8.853,21012,10.83,4810,4.536,0.776,Kepler,,,,,,,,,
K01467.01,FALSE POSITIVE,1.157808038,3.6705,866.7,22.9,5566,4.532,0.886,Kepler,,,,,,,,,
K00178.01,FALSE POSITIVE,6.14281498,4.624,122,1.82,6495,4.128,1.554,Kepler,,,,,,,,,
K01531.01,CONFIRMED,5.69919592,2.3906,159.4,1.16,5646,4.493,0.932,Kepler,,,,,,,,,
K01532.01,CONFIRMED,18.11473813,5.2706,241.5,2.49,6109,4.247,1.36,Kepler,,,,,,,,,
K01533.01,CONFIRMED,6.24145791,3.0998,163.7,1.6,5810,4.25,1.259,Kepler,,,,,,,,,
K01534.01,CONFIRMED,20.4222447,6.22,189.3,1.78,6119,4.274,1.299,Kepler,,,,,,,,,
K01589.01,CONFIRMED,8.72585478,4.473,446.7,2.86,6036,4.326,1.131,Kepler,,,,,,,,,
K01589.02,CONFIRMED,12.88291395,5.676,460.5,3.15,6036,4.326,1.131,Kepler,,,,,,,,,
K01589.03,CONFIRMED,27.4345973,5.038,472.6,2.56,6036,4.326,1.131,Kepler,,,,,,,,,
K01589.04,CONFIRMED,4.22453631,3.128,159.1,1.6,6036,4.326,1.131,Kepler,,,,,,,,,
K01589.05,CONFIRMED,44.5520266,6,362.1,2.29,6036,4.326,1.131,Kepler,,,,,,,,,
K01677.01,CONFIRMED,52.069002,3.0089,558.3,2.92,5565,4.251,1.246,Kepler,,,,,,,,,
K00191.02,CONFIRMED,2.418406841,2.0744,665.4,2.25,5422,4.484,0.887,Kepler,,,,,,,,,
K01680.01,FALSE POSITIVE,5.0825188,3.328,105,0.88,5706,4.561,0.834,Kepler,,,,,,,,,
K01681.01,CANDIDATE,6.93910337,2.977,614.7,1.41,3638,4.844,0.42,Kepler,,,,,,,,,
K01683.01,CONFIRMED,9.11500269,4.558,268.3,1.78,5962,4.431,1.028,Kepler,,,,,,,,,
K01468.01,FALSE POSITIVE,8.48031942,7.297,1426.7,4.54,5951,4.439,0.991,Kepler,,,,,,,,,
K00172.01,CONFIRMED,13.7223682,5.1231,571.1,2.23,5637,4.399,0.943,Kepler,,,,,,,,,
K01469.01,FALSE POSITIVE,3.582076914,4.4228,1534.4,5.33,6109,4.422,0.993,Kepler,,,,,,,,,
K01470.01,CONFIRMED,15.43400996,4.2572,1785.9,4.3,5900,4.509,0.951,Kepler,,,,,,,,,
K01471.01,FALSE POSITIVE,1.780984316,2.173,590.9,2.33,5730,4.545,0.87,Kepler,,,,,,,,,
K01534.02,CONFIRMED,7.63846084,3.957,71.7,1.12,6119,4.274,1.299,Kepler,,,,,,,,,
K01535.01,CONFIRMED,70.6981724,6.632,357.7,1.63,5811,4.536,0.866,Kepler,,,,,,,,,
K01536.01,CONFIRMED,3.74443645,2.9191,73.3,1.1,5876,4.269,1.293,Kepler,,,,,,,,,
K01537.01,CANDIDATE,10.19154678,6.165,61.3,1.39,6212,4.049,1.684,Kepler,,,,,,,,,
K01538.01,FALSE POSITIVE,10.5815819,6.66929,112640,53.19,6168,4.074,1.567,Kepler,,,,,,,,,
K01539.01,FALSE POSITIVE,2.819453322,4.4127,71867,29.8,5767,4.33,1.074,Kepler,,,,,,,,,
K01590.01,CANDIDATE,12.89006728,3.555,602.5,1.93,4915,4.512,0.812,Kepler,,,,,,,,,
K00185.01,CANDIDATE,23.21050996,3.09802,28737,21.19,5875,4.572,0.809,Kepler,,,,,,,,,
K01590.02,CONFIRMED,2.35574505,1.796,266.9,1.34,4915,4.512,0.812,Kepler,,,,,,,,,
K01590.03,CANDIDATE,4.74666128,2.093,256.8,1.3,4915,4.512,0.812,Kepler,,,,,,,,,
K01591.01,CONFIRMED,19.65639342,3.226,843.2,2.83,5288,4.613,0.74,Kepler,,,,,,,,,
K01684.01,FALSE POSITIVE,62.81584402,2.6901,1688.4,57.62,6340,4.23,1.492,Kepler,,,,,,,,,
K01685.01,CONFIRMED,70.468171,6.653,922.4,3.46,6461,4.396,1.131,Kepler,,,,,,,,,
K01687.01,CONFIRMED,3.93246069,2.1763,455.5,1.65,4841,4.533,0.779,Kepler,,,,,,,,,
K01688.01,CONFIRMED,0.921030497,2.6077,101.5,1.62,5843,4.069,1.615,Kepler,,,,,,,,,
K01692.01,CONFIRMED,5.960400011,2.8617,828.3,2.85,5418,4.534,0.886,Kepler,,,,,,,,,
K01472.01,CONFIRMED,85.3514875,6.7504,4674.7,6.31,5584,4.478,0.938,Kepler,,,,,,,,,
K01473.01,CANDIDATE,23.02028478,3.544,5077.8,7.58,5613,4.496,0.956,Kepler,,,,,,,,,
K01474.01,CONFIRMED,69.72646639,3.7177,4491.2,11.65,6430,4.107,1.731,Kepler,,,,,,,,,
K01475.01,CONFIRMED,1.609321941,1.6067,728.5,1.57,4224,4.662,0.603,Kepler,,,,,,,,,
K01475.02,CONFIRMED,9.51220046,2.9497,1169.4,1.99,4224,4.662,0.603,Kepler,,,,,,,,,
K01475.03,CONFIRMED,4.72941177,2.234,434.3,1.22,4224,4.662,0.603,Kepler,,,,,,,,,
K00003.01,CONFIRMED,4.887803076,2.36255,4315.8,4.82,4778,4.591,0.763,Kepler,,,,,,,,,
K00020.01,CONFIRMED,4.437962934,4.69813,16388,18.05,5953,4.175,1.415,Kepler,,,,,,,,,
K00179.01,CONFIRMED,20.74028645,10.3939,1023.3,4.24,6226,4.264,1.299,Kepler,,,,,,,,,
K01540.01,FALSE POSITIVE,1.207852845,3.5802,49720,38.59,5601,4.533,0.797,Kepler,,,,,,,,,
K01541.01,FALSE POSITIVE,2.379282197,3.1729,48434,25.74,6392,4.399,1.162,Kepler,,,,,,,,,
K01592.01,FALSE POSITIVE,26.0692512,7.487,831.5,23.61,5585,4.409,0.91,Kepler,,,,,,,,,
K01593.01,CONFIRMED,9.69501146,2.75,515.2,2.08,5896,4.516,0.914,Kepler,,,,,,,,,
K01593.02,CONFIRMED,15.3825394,3.815,550.5,2.14,5896,4.516,0.914,Kepler,,,,,,,,,
K01594.01,FALSE POSITIVE,1.818939148,1.644,331.2,1.82,6153,4.487,0.962,Kepler,,,,,,,,,
K01595.01,CONFIRMED,40.1097817,5.2096,732,3.11,5509,4.265,1.169,Kepler,,,,,,,,,
K00191.03,CANDIDATE,0.708621057,1.5041,187.5,1.2,5422,4.484,0.887,Kepler,,,,,,,,,
K01692.02,CONFIRMED,2.46106962,2.184,84.2,0.84,5418,4.534,0.886,Kepler,,,,,,,,,
K01693.01,FALSE POSITIVE,3.403743926,1.5017,815.9,10.77,5596,4.533,0.853,Kepler,,,,,,,,,
K01700.01,CONFIRMED,8.03753796,2.9118,286.5,1.54,5044,4.511,0.804,Kepler,,,,,,,,,
K01701.01,FALSE POSITIVE,2.43902575,1.1598,82.5,2.61,6546,3.817,2.784,Kepler,,,,,,,,,
K01476.01,CONFIRMED,56.3587987,6.927,2559.6,5.04,5446,4.525,0.821,Kepler,,,,,,,,,
K00172.02,CONFIRMED,242.467406,12.808,340.3,1.73,5637,4.399,0.943,Kepler,,,,,,,,,
K01477.01,CANDIDATE,169.4976085,7.77,12192,9.06,5270,4.592,0.787,Kepler,,,,,,,,,
K01478.01,CONFIRMED,76.13622222,7.9393,2949.5,4.78,5591,4.494,0.892,Kepler,,,,,,,,,
K01479.01,FALSE POSITIVE,4.9883872,9.142,638.2,2.59,5819,4.565,0.823,Kepler,,,,,,,,,
K01542.01,FALSE POSITIVE,2.586878667,6.1614,25480,19.84,6812,4.343,1.172,Kepler,,,,,,,,,
K01543.01,FALSE POSITIVE,3.964333304,4.7136,25886,37.09,5758,3.808,2.318,Kepler,,,,,,,,,
K01544.01,FALSE POSITIVE,1.525924389,3.15998,24627,49.86,6203,4.427,1.06,Kepler,,,,,,,,,
K01545.01,FALSE POSITIVE,5.910371418,3.88962,17219,12.62,6200,4.488,0.958,Kepler,,,,,,,,,
K01546.01,CANDIDATE,0.917568975,2.0654,15805,11.92,5713,4.541,0.893,Kepler,,,,,,,,,
K01596.01,CONFIRMED,5.92365747,2.6302,406.5,0.99,3883,4.762,0.496,Kepler,,,,,,,,,
K01596.02,CONFIRMED,105.3582299,3.81,1210.2,1.87,3883,4.762,0.496,Kepler,,,,,,,,,
K00186.01,CONFIRMED,3.24325988,3.03318,16451,12.91,5823,4.438,1.013,Kepler,,,,,,,,,
K01597.01,CANDIDATE,7.79668781,4.6699,361.3,2.44,6521,4.352,1.276,Kepler,,,,,,,,,
K01598.01,CONFIRMED,56.4758069,5.961,1091.8,3.22,5497,4.57,0.839,Kepler,,,,,,,,,
K01598.02,CONFIRMED,92.8747294,7.474,658.8,2.64,5497,4.57,0.839,Kepler,,,,,,,,,
K01702.01,CONFIRMED,1.538180949,1.2635,841,1,3364,4.978,0.274,Kepler,,,,,,,,,
K01704.01,CONFIRMED,10.4188915,3.0069,670,3.17,5692,4.36,1.064,Kepler,,,,,,,,,
K01705.01,CONFIRMED,20.4998763,6.501,437.8,2.8,6249,4.428,1.076,Kepler,,,,,,,,,
K01706.01,CONFIRMED,1.921437488,1.9046,278.7,1.77,5238,4.472,0.851,Kepler,,,,,,,,,
K01707.01,CONFIRMED,96.109323,9.877,982.3,4.01,5792,4.375,1.005,Kepler,,,,,,,,,
K01480.01,CONFIRMED,20.38174802,3.7922,1597.1,3.16,4883,4.515,0.808,Kepler,,,,,,,,,
K01480.02,CANDIDATE,7.00447892,2.669,231.4,1.19,4883,4.515,0.808,Kepler,,,,,,,,,
K01481.01,CONFIRMED,5.101375725,2.595,894.6,2.84,5869,4.479,0.954,Kepler,,,,,,,,,
K01482.01,FALSE POSITIVE,17.7940049,4.091,879.4,312.48,6273,4.442,1.044,Kepler,,,,,,,,,
K01484.01,FALSE POSITIVE,3.47021401,2.289,1105.2,2.4,4922,4.555,0.744,Kepler,,,,,,,,,
K01547.01,CANDIDATE,30.69395532,2.9512,18121,13.72,6137,4.46,1.018,Kepler,,,,,,,,,
K01548.01,FALSE POSITIVE,2.139325409,2.8056,6897.8,11.61,4765,4.642,0.666,Kepler,,,,,,,,,
K01549.01,CANDIDATE,29.48106127,3.6636,11871,16.61,5631,4.41,0.901,Kepler,,,,,,,,,
K00179.02,CONFIRMED,572.376632,24.42,1743.4,5.8,6226,4.264,1.299,Kepler,,,,,,,,,
K01550.01,FALSE POSITIVE,2.233799622,3.04,2658.5,28.63,5741,4.555,0.846,Kepler,,,,,,,,,
K01551.01,FALSE POSITIVE,31.13862664,5.2482,11427,12.88,5919,4.485,1,Kepler,,,,,,,,,
K01598.03,CONFIRMED,13.93068791,2.312,186.5,1.4,5497,4.57,0.839,Kepler,,,,,,,,,
K01599.01,CONFIRMED,20.4074846,8.839,363.4,2.9,5823,4.472,0.972,Kepler,,,,,,,,,
K01600.01,FALSE POSITIVE,12.36564669,3.644,388.4,24.89,6075,4.495,0.952,Kepler,,,,,,,,,
K01601.01,CONFIRMED,10.35078415,6.253,273.1,1.97,5534,4.338,1.08,Kepler,,,,,,,,,
K01601.02,CONFIRMED,62.9224936,11.64,417.8,2.75,5534,4.338,1.08,Kepler,,,,,,,,,
K01708.01,CANDIDATE,32.7737631,3.416,564.5,5,5640,4.076,1.534,Kepler,,,,,,,,,
K00191.04,CONFIRMED,38.6520796,5.607,566.5,2.07,5422,4.484,0.887,Kepler,,,,,,,,,
K01710.01,CONFIRMED,14.20442616,3.898,800.6,1.9,5350,4.647,0.678,Kepler,,,,,,,,,
K01711.01,CONFIRMED,55.673582,3.778,765.1,2.19,4998,4.53,0.808,Kepler,,,,,,,,,
K01713.01,CONFIRMED,6.82778157,2.3726,545.8,1.34,4198,4.689,0.574,Kepler,,,,,,,,,
K01485.01,FALSE POSITIVE,0.687895191,2.4233,462.5,1.35,4478,4.615,0.651,Kepler,,,,,,,,,
K01486.01,CONFIRMED,127.2824442,7.1545,8088.6,12.04,5733,4.281,1.183,Kepler,,,,,,,,,
K00173.01,CONFIRMED,10.06083238,4.5718,460.2,2.58,5705,4.297,1.14,Kepler,,,,,,,,,
K01486.02,CONFIRMED,30.1837021,5.879,974.9,3.65,5733,4.281,1.183,Kepler,,,,,,,,,
K01487.01,FALSE POSITIVE,2.92928244,6.794,268.6,38.42,6634,3.831,2.251,Kepler,,,,,,,,,
K01552.01,CANDIDATE,77.63424586,4.1002,16612,9.4,4812,4.548,0.755,Kepler,,,,,,,,,
K01553.01,CONFIRMED,52.75878505,6.6517,5805.8,8.76,6228,4.413,1.137,Kepler,,,,,,,,,
K01554.01,FALSE POSITIVE,1.332564478,6.0325,1071.5,27.04,5995,4.536,0.878,Kepler,,,,,,,,,
K01555.01,FALSE POSITIVE,41.0772969,5.525,1216.8,3.25,5665,4.381,0.938,Kepler,,,,,,,,,
K01556.01,FALSE POSITIVE,135.9121619,5.628,10188,40.18,6141,4.468,0.959,Kepler,,,,,,,,,
K01952.04,CONFIRMED,42.4729078,7.253,334,2.03,5616,4.327,1.111,Kepler,,,,,,,,,
K01955.01,CONFIRMED,15.17026921,4.3311,224.8,2.47,6297,4.26,1.369,Kepler,,,,,,,,,
K01955.02,CONFIRMED,39.4576228,9.557,244.8,2.8,6297,4.26,1.369,Kepler,,,,,,,,,
K01958.01,CONFIRMED,17.8159689,3.6765,776.8,3.12,5964,4.484,0.933,Kepler,,,,,,,,,
K01959.01,CONFIRMED,36.5157639,3.6577,861.3,2.55,4847,4.54,0.781,Kepler,,,,,,,,,
K02032.01,CONFIRMED,14.07969236,1.375,169.5,2.08,5821,4.097,1.547,Kepler,,,,,,,,,
K02033.01,CONFIRMED,16.54081386,2.5996,370,1.57,5064,4.572,0.769,Kepler,,,,,,,,,
K02034.01,CONFIRMED,3.609313059,1.7752,1375.1,3.26,5668,4.545,0.868,Kepler,,,,,,,,,
K02035.01,CONFIRMED,1.93155546,1.614,504.9,2.25,5461,4.552,0.858,Kepler,,,,,,,,,
K02036.01,CONFIRMED,8.41100305,2.4553,755.6,1.8,3757,4.718,0.539,Kepler,,,,,,,,,
K01825.01,CONFIRMED,13.52252364,3.987,690.6,2.11,5338,4.557,0.816,Kepler,,,,,,,,,
K01826.01,CONFIRMED,134.2520474,9.0636,832.1,3.43,5818,4.276,1.2,Kepler,,,,,,,,,
K00199.01,CONFIRMED,3.268695042,3.45188,10091,16.91,5927,4.046,1.691,Kepler,,,,,,,,,
K01828.01,CONFIRMED,99.7468804,6.804,1287,3.94,5620,4.363,0.974,Kepler,,,,,,,,,
K01829.01,FALSE POSITIVE,22.84156293,2.5997,2940.7,30,5381,4.538,0.826,Kepler,,,,,,,,,
K00205.01,CONFIRMED,11.720124,3.0039,9763.3,7.94,5215,4.564,0.77,Kepler,,,,,,,,,
K01890.01,CONFIRMED,4.33643506,4.1445,108.5,1.75,6180,4.133,1.603,Kepler,,,,,,,,,
K01891.01,CONFIRMED,15.95541913,3.9851,762.6,2.18,4891,4.516,0.805,Kepler,,,,,,,,,
K01891.02,CONFIRMED,8.25980352,2.928,298.4,1.35,4891,4.516,0.805,Kepler,,,,,,,,,
K01892.01,CONFIRMED,62.5613879,5.907,1372.6,3.54,5662,4.56,0.84,Kepler,,,,,,,,,
K01960.01,CONFIRMED,8.96847034,4.4073,234.3,2.17,5808,4.185,1.374,Kepler,,,,,,,,,
